epoch,train_loss,val_loss,train_acc,val_acc
1,0.9417491946907595,0.4760575530140899,0.7477096546863988,0.864693446088795
2,0.37147691031003016,0.35864372031633246,0.8964059196617337,0.8784355179704016
3,0.2519087062241579,0.3398589488693826,0.9263565891472868,0.8879492600422833
4,0.20437102699212578,0.29079512624861575,0.9418604651162791,0.9027484143763214
5,0.15083642872056968,0.2711219285431674,0.9577167019027484,0.9059196617336153
6,0.11941922310584864,0.2840809939275584,0.9696969696969697,0.904862579281184
7,0.09772365852150806,0.31431775617297053,0.9735729386892178,0.8858350951374208
8,0.06938184841868741,0.2702839169769408,0.9876673713883016,0.9059196617336153
9,0.06278091640204422,0.29240989080191165,0.9887244538407329,0.9038054968287527
10,0.05077333852302197,0.2814889112940298,0.9894291754756871,0.8974630021141649
