epoch,train_loss,val_loss,train_acc,val_acc
1,0.8132223969954181,0.4029986807962301,0.7699083861874559,0.8752642706131079
2,0.3078514291334522,0.29726518674834335,0.9112050739957717,0.9059196617336153
3,0.18469624262279485,0.2590916795660023,0.9513742071881607,0.9291754756871036
4,0.14701191037158212,0.2636958366972699,0.9591261451726568,0.912262156448203
5,0.11539224279523316,0.20799083135092739,0.9661733615221987,0.9291754756871036
6,0.08443416763225688,0.21814435273093855,0.9746300211416491,0.9228329809725159
7,0.057604745266679476,0.2066897121720788,0.9876673713883016,0.9217758985200846
8,0.04707234401657516,0.2294004478867916,0.98907681465821,0.9090909090909091
9,0.05364029481744497,0.22057671236941476,0.9841437632135307,0.9281183932346723
10,0.04666550693228851,0.1899280503360716,0.98907681465821,0.927061310782241
11,0.03348194859748663,0.1807510397903007,0.992952783650458,0.9323467230443975
12,0.03099891820881802,0.18877646717662286,0.9918957011980267,0.9334038054968288
13,0.025842292349814444,0.20971200380466454,0.9933051444679352,0.9386892177589852
14,0.02483459533184998,0.21146919901224825,0.9947145877378436,0.9228329809725159
15,0.029041914065211612,0.19688357964126554,0.992600422832981,0.9365750528541226
16,0.023188403722914783,0.1958794596331316,0.9936575052854123,0.9260042283298098
