epoch,train_loss,val_loss,train_acc,val_acc
1,0.9848705117260594,0.5586280566945389,0.7085976039464411,0.8234672304439746
2,0.4539782991705015,0.5286974763265372,0.8618745595489782,0.8160676532769556
3,0.3143421691055446,0.40663642623711843,0.9013389711064129,0.8699788583509513
4,0.22769225769432772,0.35741264006048123,0.9351656095842142,0.8763213530655392
5,0.1831961209249799,0.42882741133960056,0.9443269908386187,0.857293868921776
6,0.1428040998572401,0.3677085177464919,0.9594785059901338,0.8657505285412262
7,0.10218232468957208,0.37842390023124645,0.9753347427766033,0.8742071881606766
8,0.08194619015520774,0.3347012580827225,0.9809725158562368,0.8847780126849895
9,0.07156695046943204,0.3275890287334773,0.981677237491191,0.8879492600422833
10,0.07190807223834565,0.313901571088311,0.9763918252290346,0.8942917547568711
11,0.06722172497757897,0.3271266184825978,0.9827343199436223,0.8964059196617337
12,0.043879277757391956,0.41404089363130403,0.9915433403805497,0.872093023255814
13,0.030487960570710407,0.36144504713457687,0.9964763918252291,0.8879492600422833
14,0.03071493915347166,0.34767617597136385,0.9936575052854123,0.8784355179704016
15,0.025132792603442415,0.3456895856096175,0.9947145877378436,0.8826638477801269
