extractor,backbone,best_val_acc,test_loss,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted
vit_b_16_224x224,vit_b_16,0.9386892177589852,0.24561848418972204,0.9217758985200846,0.9252118048327569,0.9217758985200846,0.9207232632111095
resnet18_224x224,resnet18,0.9059196617336153,0.3112075739790219,0.904862579281184,0.9108714751072854,0.904862579281184,0.9045761344705883
vgg16_224x224,vgg16,0.8964059196617337,0.385937429602252,0.8604651162790697,0.8631564288290423,0.8604651162790697,0.8604881177960048
